The new frontier of genome engineering with CRISPR-Cas9	Jennifer A Doudna,Emmanuelle Charpentier
Genetic analyses from ancient DNA	Svante Pääbo,Hendrik Poinar,David Serre,Viviane Jaenicke-Després,Juliane Hebler,Nadin Rohland,Melanie Kuch,Johannes Krause,Linda Vigilant,Michael Hofreiter
ancient DNA	Michael Hofreiter,David Serre,Hendrik N Poinar,Melanie Kuch,Svante Pääbo
Mitochondrial genome variation and the origin of modern humans	Max Ingman,Henrik Kaessmann,Svante Pääbo,Ulf Gyllensten
DNA extraction from Pleistocene bones by a silica-based purification method.	Matthias Höss,Svante Pääbo
Mitochondrial DNA sequences from a 7000-year old brain	Svante Pääbo,John A Gifford,Allan C Wilson
Ancient DNA and the polymerase chain reaction: the emerging field of molecular archaeology	Svante Pääbo,Russell G Higuchi,Allan C Wilson
