ID	Hospedador	Especie
KY640437	vertebrates	Parvoviridae,Bocaparvovirus,Dromedary camel bocaparvovirus 1
KY640439	vertebrates	Parvoviridae,Bocaparvovirus,Dromedary camel bocaparvovirus 2
KY640440	vertebrates	Parvoviridae,Bocaparvovirus,Dromedary camel bocaparvovirus 2
KY640441	vertebrates	Parvoviridae,Bocaparvovirus,Dromedary camel bocaparvovirus 2
KY640442	vertebrates	Parvoviridae,Bocaparvovirus,Dromedary camel bocaparvovirus 2
KY640443	vertebrates	Parvoviridae,Bocaparvovirus,Dromedary camel bocaparvovirus 2
KY640444	vertebrates	Parvoviridae,Bocaparvovirus,Dromedary camel bocaparvovirus 2
KY640445	vertebrates	Parvoviridae,Bocaparvovirus,Dromedary camel bocaparvovirus 2
KY640446	vertebrates	Parvoviridae,Bocaparvovirus,Dromedary camel bocaparvovirus 2
KY640447	vertebrates	Parvoviridae,Bocaparvovirus,Dromedary camel bocaparvovirus 2
KY640448	vertebrates	Parvoviridae,Bocaparvovirus,Dromedary camel bocaparvovirus 2
KY640449	vertebrates	Parvoviridae,Bocaparvovirus,Dromedary camel bocaparvovirus 2
KY640450	vertebrates	Parvoviridae,Bocaparvovirus,Dromedary camel bocaparvovirus 2
KY640451	vertebrates	Parvoviridae,Bocaparvovirus,Dromedary camel bocaparvovirus 2
KY640452	vertebrates	Parvoviridae,Bocaparvovirus,Dromedary camel bocaparvovirus 2
KY640453	vertebrates	Parvoviridae,Bocaparvovirus,Dromedary camel bocaparvovirus 2
KY640454	vertebrates	Parvoviridae,Bocaparvovirus,Dromedary camel bocaparvovirus 2
KY640455	vertebrates	Parvoviridae,Bocaparvovirus,Dromedary camel bocaparvovirus 2
KY657267	plants	Potyviridae,Potyvirus,Cucurbit vein banding virus
KY977506	vertebrates	Hepadnaviridae,Avihepadnavirus,Tinamou hepatitis B virus
LN829615	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
LN829616	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
LN833590	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
LN833591	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
LT618868	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
LT618869	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
M19377	bacteria	Inoviridae,,Pseudomonas virus Pf3
MF073201	protozoa	Totiviridae,,Australian Anopheles totivirus
MF176247	invertebrates	Culex mononega-like virus 2
MF176256	invertebrates	Culex negev-like virus 1
MF176260	eukaryotes	Wilkie partiti-like virus 2
MF176268	invertebrates	Culex mononega-like virus 2
MF176269	invertebrates	Culex rhabdo-like virus
MF176292	invertebrates	Wilkie narna-like virus 1
MF176305	invertebrates	Culex negev-like virus 1
MF176318	invertebrates	Culex mononega-like virus 2
MF176332	invertebrates	Culex mononega-like virus 2
MF176358	invertebrates	Culex rhabdo-like virus
MF176377	invertebrates	Culex mononega-like virus 2
MF327537	vertebrates	Papillomaviridae,,Ailuropoda melanoleuca papillomavirus 4
MF327539	vertebrates,human	Anelloviridae,,Giant panda anellovirus
MF327540	vertebrates,human	Anelloviridae,,Giant panda anellovirus
MF327542	vertebrates,human	Anelloviridae,,Giant panda anellovirus
MF327543	vertebrates,human	Anelloviridae,,Giant panda anellovirus
MF327544	vertebrates,human	Anelloviridae,,Giant panda anellovirus
MF327545	vertebrates,human	Anelloviridae,,Giant panda anellovirus
MF327546	vertebrates,human	Anelloviridae,,Giant panda anellovirus
MF327547	vertebrates,human	Anelloviridae,,Giant panda anellovirus
MF327548	vertebrates,human	Anelloviridae,,Giant panda anellovirus
MF327549	vertebrates,human	Anelloviridae,,Giant panda anellovirus
MF327550	vertebrates,human	Anelloviridae,,Giant panda anellovirus
MF327551	vertebrates,human	Anelloviridae,,Giant panda anellovirus
MF327552	vertebrates,human	Anelloviridae,,Giant panda anellovirus
MF327553	vertebrates,human	Anelloviridae,,Giant panda anellovirus
MF327554	vertebrates,human	Anelloviridae,,Giant panda anellovirus
MF327555	vertebrates,human	Anelloviridae,,Giant panda anellovirus
MF327556	vertebrates,human	Anelloviridae,,Giant panda anellovirus
MF327557	vertebrates,human	Anelloviridae,,Giant panda anellovirus
MF327558	vertebrates	Genomoviridae,Gemycircularvirus,Giant panda associated gemycircularvirus
MF327559	vertebrates	Genomoviridae,Gemycircularvirus,Giant panda associated gemycircularvirus
MF327560	vertebrates	Genomoviridae,Gemycircularvirus,Giant panda associated gemycircularvirus
MF327562	vertebrates	Genomoviridae,Gemycircularvirus,Giant panda associated gemycircularvirus
MF327563	vertebrates	Genomoviridae,Gemycircularvirus,Giant panda associated gemycircularvirus
MF327564	vertebrates	Genomoviridae,Gemycircularvirus,Giant panda associated gemycircularvirus
MF327565	vertebrates	Genomoviridae,Gemycircularvirus,Giant panda associated gemycircularvirus
MF327566	vertebrates	Genomoviridae,Gemycircularvirus,Giant panda associated gemycircularvirus
MF327567	vertebrates	Genomoviridae,Gemycircularvirus,Giant panda associated gemycircularvirus
MF327568	vertebrates	Genomoviridae,Gemycircularvirus,Giant panda associated gemycircularvirus
MF327569	vertebrates	Genomoviridae,Gemycircularvirus,Giant panda associated gemycircularvirus
MF327570	vertebrates	Genomoviridae,Gemycircularvirus,Giant panda associated gemycircularvirus
MF327571	vertebrates	Genomoviridae,Gemycircularvirus,Giant panda associated gemycircularvirus
MF327572	vertebrates	Genomoviridae,Gemycircularvirus,Giant panda associated gemycircularvirus
MF685337	vertebrates	Tilapinevirus,Tilapia tilapinevirus
U45966	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C

